Subject,Scenario,Accuracy,F1,AUROC,RS
4,Only ECG,0.7342657342657343,0.4896694214876033,0.8541367766618843,0.5397643758964796
4,Only EDA,0.9790209790209791,0.9748902546093063,0.9887613582018173,1.074625056733452
4,Only Respiration,0.4965034965034965,0.49588719153936545,0.7192730750836921,0.5466182463327045
4,Only Temperature,0.993006993006993,0.9915128494272657,1.0,1.0929482031746538
5,Full,0.9178082191780822,0.8950395398993529,0.9663461538461539,1.0
5,No ECG + No EDA,0.6232876712328768,0.5497617045135968,0.5906593406593407,0.6142317517898902
5,No ECG + No Respiration,0.684931506849315,0.6209076540979905,0.6343864468864469,0.6937209211649036
5,No ECG + No Temperature,0.8972602739726028,0.8802689847465968,0.9684065934065934,0.9834973154879648
5,No EDA + No Respiration,0.8493150684931506,0.7747545582047686,0.788919413919414,0.8656093096087013
5,No EDA + No Temperature,0.9931506849315068,0.9917021881216255,0.9988553113553114,1.107998187692515
5,No Respiration + No Temperature,0.9863013698630136,0.983517724091217,0.9997710622710623,1.0988539391252072
5,Only ECG,0.9931506849315068,0.9917021881216255,1.0,1.107998187692515
5,Only EDA,0.8082191780821918,0.7972222222222223,0.9576465201465201,0.8907117358322179
5,Only Respiration,0.8493150684931506,0.7972222222222223,0.8717948717948718,0.8907117358322179
5,Only Temperature,0.4246575342465753,0.4026884862653419,0.4551282051282051,0.44991139308842626
6,Full,0.8896551724137931,0.8711111111111112,0.961468308253534,1.0
6,No ECG + No EDA,0.6068965517241379,0.4874418604651163,0.5702234382124942,0.5595633602278121
6,No ECG + No Respiration,0.8137931034482758,0.7323076923076923,0.7906976744186047,0.8406593406593407
6,No ECG + No Temperature,0.8,0.683382275431067,0.9810761513907889,0.7844949590407656
6,No EDA + No Respiration,0.7379310344827587,0.7299019607843138,0.8905608755129959,0.8378976590636255
6,No EDA + No Temperature,0.8620689655172413,0.851312551271534,0.9664842681258551,0.9772720614086488
6,No Respiration + No Temperature,0.8689655172413793,0.8581724581724581,0.9929320565435477,0.9851469545347096
6,Only ECG,0.696551724137931,0.6932692307692307,0.9612403100775194,0.7958447802197801
6,Only EDA,0.9241379310344827,0.9057829759584145,0.9829001367989056,1.0398018856665472
6,Only Respiration,0.7517241379310344,0.565,0.7667578659370726,0.6485969387755101
6,Only Temperature,0.5793103448275863,0.4991789819376027,0.4970360237118102,0.5730370966120438
7,Full,0.993103448275862,0.9915604446772597,0.9997688395746648,1.0
7,No ECG + No EDA,0.9862068965517241,0.9834701322389421,0.9988441978733241,0.9918408277763129
7,No ECG + No Respiration,0.993103448275862,0.9916786226685796,1.0,1.0001191838500159
7,No ECG + No Temperature,0.9724137931034482,0.9673717371737174,0.9986130374479889,0.9756054130301502
7,No EDA + No Respiration,0.9448275862068966,0.9355555555555555,0.9951456310679612,0.9435184315567035
